@copyright 新媒体搜索引擎: https://www.sougood.top
-----------------------------------------------
词语	词频	词性
网游	10	名词
晚会	10	名词
靶子	10	名词
电子商务	10	名词
艳羡	10	动词
搭乘	10	动词
后院	10	名词
添	10	动词
关头	10	名词
文艺作品	10	名词
造福	10	动词
若能	10	连词
若能	10	动词
种树	10	名词
自证	10	动词
之三	10	代词
极难	10	副词
不会错	10	成语
与此相反	10	连词
骨折	10	名词
失意	10	动词
气球	10	名词
后发	10	动词
为首	10	动词
书稿	10	名词
字里行间	10	名词
不言而喻	10	成语
处事	10	动词
良药	10	名词
谜题	10	名词
宝石	10	名词
障	10	名词
碍	10	动词
说点	10	动词
说点	10	量词
牢骚	10	名词
不清	10	副词
不清	10	形容词
军人	10	名词
音上	10	名词
音上	10	方位词
惊悚	10	形容词
良	10	形容词
多用户	10	名词
宰	10	动词
低频	10	区别词
火力	10	名词
勤快	10	形容词
别看	10	副词
别看	10	动词
无中生有	10	区别词
小编	10	形容词
小编	10	名词
跳转	10	动词
求知欲	10	成语
囤	10	动词
线图	10	名词
通吃	10	动词
普普通通	10	名词
脚踏车	10	名词
提前退休	10	成语
广告费	10	名词
不可否认	10	成语
固	10	简称略语
射手	10	名词
眉毛	10	名词
语速	10	名词
中专	10	简称略语
无心	10	动词
我点	10	代词
我点	10	量词
陈旧	10	名词
惟一	10	区别词
超低	10	前缀
很糟	10	名词
选人	10	名词
悲凉	10	形容词
李开复	10	名词
杜	10	名词
媳妇	10	名词
赚到	10	动词
之光	10	助词
之光	10	名词
节选	10	动词
沙僧	10	名词
对不上	10	习用语
私钥	10	名词
上前	10	时间词
梁欢	10	名词
略显	10	动词
挤出	10	动词
完完全全	10	成语
高高在上	10	习用语
大名鼎鼎	10	成语
宝贝	10	名词
一股脑	10	习用语
那人	10	代词
那人	10	名词
归结到	10	动词
收视率	10	名词
瞪	10	动词
啪啪	10	拟声词
训练方法	10	名词
拖鞋	10	名词
听者	10	名词
几段	10	数词
沟通交流	10	名词
听得	10	动词
听得	10	助词
千差万别	10	成语
主要矛盾	10	习用语
可循	10	动词
贴合	10	动词
顾及	10	动词
大道理	10	名词
保全	10	动词
谈资	10	动词
考入	10	动词
无感	10	名词
精炼	10	动词
游记	10	名词
八点	10	数词
一己	10	数词
一己	10	代词
谐音	10	名词
归还	10	动词
如意	10	动词
盈	10	名词
门类	10	名词
计算机科学	10	名词
薪	10	名词
所指	10	名词
最晚	10	副词
最晚	10	时间词
七月	10	时间词
作者简介	10	成语
个人观点	10	名词
今年春节	10	时间词
话说回来	10	习用语
我开	10	代词
我开	10	动词
承	10	动词
量产	10	名词
极为重要	10	成语
不断完善	10	习用语
辉	10	名词
互不	10	副词
显现出来	10	习用语
管理人员	10	名词
邓小平	10	名词
君王	10	名词
设计方案	10	名词
示例	10	名词
现今	10	时间词
蹬	10	动词
架构师	10	名词
罪名	10	名词
息息相关	10	成语
要花费	10	名词
王湛生	10	名词
一天到晚	10	习用语
评选	10	动词
下线	10	名词
刻苦	10	动词
刘韧	10	名词
最高峰	10	名词
越难	10	副词
很烂	10	形容词
改名	10	动词
发自	10	动词
波峰	10	名词
爆出	10	动词
蒙蔽	10	形容词
一概	10	副词
的确如此	10	习用语
塑造成	10	名词
座椅	10	名词
一发	10	数词
政	10	名词
呵护	10	动词
叫醒	10	动词
同一时间	10	副词
本末倒置	10	成语
衣食住行	10	名词
事有	10	名词
事有	10	动词
人学	10	名词
唐望	10	名词
古龙	10	名词
大人物	10	名词
努力学习	10	名词
乔纳森	10	名词
英明	10	名词
腰斩	10	动词
当月	10	时间词
某种原因	10	动词
设身处地	10	名词
不大可能	10	成语
现金流量	10	名词
纸板	10	名词
主机	10	区别词
主权	10	名词
焦灼	10	形容词
那片	10	代词
那片	10	量词
嗤之以鼻	10	成语
要出	10	动词
奖项	10	名词
困窘	10	形容词
欧盟	10	简称略语
再举	10	副词
收看	10	动词
胸怀	10	名词
幸运地	10	习用语
省事	10	名词
萦绕	10	动词
大部头	10	数词
事例	10	名词
各个领域	10	习用语
伊丽莎白	10	名词
长城	10	名词
最终目标	10	习用语
几代人	10	名词
运营者	10	名词
技艺	10	名词
发展趋势	10	习用语
战队	10	名词
辞掉	10	动词
第二季度	10	数量词
粗鲁	10	形容词
每一秒	10	代词
摄取	10	动词
间歇性	10	区别词
惨重	10	形容词
血本无归	10	习用语
两把	10	数词
问得	10	动词
问得	10	助词
社交活动	10	名词
会犯	10	名词
囿于	10	动词
出个	10	动词
出个	10	量词
›	10	字符串
特指	10	名词
之源	10	助词
之源	10	名词
质感	10	名词
刀刃	10	名词
男孩子	10	名词
养料	10	名词
洗澡时	10	名词
上位	10	名词
心知肚明	10	成语
闭	10	动词
中级	10	区别词
我犯	10	代词
我犯	10	动词
没有勇气	10	习用语
心存	10	名词
蔬菜	10	名词
碳水	10	名词
学术界	10	名词
白白	10	名词
大爷	10	名词
扭头	10	动词
执拗	10	动词
无暇	10	副词
说错	10	动词
随处可见	10	习用语
交钱	10	名词
高过	10	形容词
高过	10	助词
重灾区	10	名词
化合物	10	名词
发病	10	动词
一滴	10	数词
门外	10	处所词
管理系统	10	名词
先用	10	副词
先用	10	介词
近两年	10	习用语
苏宁	10	名词
头图	10	名词
步步高	10	名词
张嘴	10	名词
干不了	10	习用语
弱势群体	10	成语
流程化	10	名词
嘱咐	10	动词
柳传志	10	名词
认知失调	10	动词
俗	10	形容词
站台	10	名词
尊称	10	动词
庭审	10	名词
打牌	10	动词
庭	10	名词
中秋	10	时间词
攀爬	10	动词
蒸发	10	动词
口述	10	名词
麻痹	10	动词
喉咙	10	名词
大得	10	形容词
大得	10	助词
殖民	10	名词
之时	10	助词
之时	10	名词
货品	10	名词
争抢	10	动词
一事	10	名词
不太想	10	名词
变慢	10	动词
更优	10	副词
流露出	10	成语
紧张感	10	名词
强力	10	名词
侧	10	动词
携	10	动词
星辰	10	名词
握手	10	动词
愁滋味	10	名词
当有	10	介词
当有	10	动词
例证	10	动词
现代文学	10	名词
悉	10	名词
分担	10	动词
各异	10	形容词
稻草	10	名词
陈子昂	10	名词
迫切需要	10	名词
怜悯	10	动词
雷同	10	名词
典故	10	名词
缠	10	动词
推掉	10	动词
买入价	10	名词
凭证	10	名词
馈赠	10	动词
惊艳	10	形容词
店长	10	名词
宣	10	名词
白人	10	名词
寓意	10	名词
研习	10	动词
进城	10	动词
连锁店	10	名词
款式	10	名词
短片	10	名词
恐吓	10	动词
剧透	10	名词
账期	10	名词
迎	10	动词
电讯	10	名词
马刚	10	名词
显露出	10	成语
李斌	10	名词
建厂	10	名词
取暖	10	动词
一点一滴	10	数词
波澜不惊	10	习用语
西藏	10	名词
箱	10	量词
没过多久	10	习用语
遗言	10	名词
晓说	10	动词
俯视	10	动词
深谙	10	动词
重病	10	名词
吃点	10	动词
吃点	10	量词
衬衫	10	名词
逛街	10	动词
隐晦	10	形容词
在你看来	10	习用语
车贷	10	名词
不遗余力	10	习用语
抵挡	10	动词
散伙	10	名词
几百人	10	名词
上进心	10	名词
实际行动	10	名词
用手	10	介词
用手	10	处所词
心路历程	10	习用语
拆成	10	动词
一万个	10	数词
安静下来	10	成语
棍子	10	名词
轻度	10	副词
组里	10	状态词
组里	10	方位词
漫无目的	10	成语
回头一看	10	成语
惊呆	10	动词
鼠标	10	名词
关机	10	名词
景点	10	名词
留守	10	动词
五六个	10	数词
洗衣机	10	名词
今年夏天	10	名词
干完	10	动词
造物	10	名词
消逝	10	动词
变通	10	动词
矿泉水	10	名词
天亮	10	名词
天里	10	量词
牌照	10	名词
保险费	10	名词
水里	10	名词
水里	10	方位词
攒下	10	动词
攒下	10	方位词
好日子	10	习用语
预备	10	动词
精神状态	10	名词
低着头	10	动词
不及格	10	成语
洒脱	10	动词
个点	10	数词
声响	10	名词
食用	10	名词
硬是	10	副词
走动	10	动词
聊聊天	10	成语
最高级	10	区别词
高层次	10	区别词
发言权	10	习用语
提炼出	10	成语
完全一致	10	成语
解说	10	动词
唐代	10	时间词
死记硬背	10	习用语
生理学	10	名词
魔幻	10	名词
漫游费	10	名词
三步	10	数词
屏蔽掉	10	成语
信息处理	10	名词
枯竭	10	动词
弥散	10	动词
高远	10	副词
度日	10	名词
高涨	10	动词
教育资源	10	名词
丑闻	10	名词
雄心壮志	10	成语
肮脏	10	形容词
及格	10	形容词
点钟	10	量词
毕业典礼	10	名词
警报	10	名词
高中毕业	10	名词
小企业	10	名词
五十年	10	数词
我错	10	代词
我错	10	动词
一大半	10	数词
亚当	10	名词
抢走	10	动词
自体	10	名词
尽量少	10	习用语
到此为止	10	习用语
浅显	10	形容词
作法	10	名词
死守	10	动词
悠闲	10	状态词
强弱	10	形容词
重于	10	动词
简阳	10	名词
断供	10	动词
拿捏	10	动词
决绝	10	动词
错综复杂	10	成语
之意	10	助词
之意	10	名词
十遍	10	数词
赘述	10	动词
核桃	10	名词
剥	10	动词
弊端	10	名词
名誉	10	名词
武侠小说	10	习用语
敬请	10	动词
围攻	10	动词
浙江	10	名词
引荐	10	动词
创业家	10	名词
媒	10	名词
棵	10	量词
二十几岁	10	数词
橄榄枝	10	名词
盯住	10	动词
八小时	10	简称略语
笑脸	10	名词
先干	10	副词
先干	10	动词
茨威格	10	名词
趋向于	10	名词
拼图	10	动词
吆喝	10	动词
好莱坞	10	名词
这批	10	代词
这批	10	量词
胡乱	10	名词
残疾	10	名词
发明者	10	名词
蜗牛	10	名词
拥堵	10	动词
真不知道	10	成语
逆风	10	名词
埃里克	10	名词
通读	10	动词
语义	10	名词
会场	10	名词
俯卧撑	10	动词
振动	10	动词
膝盖	10	名词
商业活动	10	名词
后卫	10	名词
艾伦	10	名词
热议	10	名词
赞助商	10	动词
对准	10	名词
太想	10	副词
太想	10	动词
还原论	10	动词
一栏	10	副词
周到	10	动词
非常高兴	10	区别词
不是故意	10	成语
大拇指	10	名词
飞来	10	动词
窥见	10	动词
诟病	10	名词
心有	10	名词
心有	10	动词
重力	10	名词
数百万	10	数词
达克	10	名词
无畏	10	动词
对号入座	10	名词
便签	10	动词
上加	10	动词
张津剑	10	名词
十有八九	10	数词
傅里叶	10	名词
球鞋	10	名词
千方百计	10	成语
各个方面	10	习用语
负罪感	10	名词
还行	10	副词
还行	10	状态词
银行存款	10	名词
建起	10	动词
关进	10	动词
排在	10	动词
排在	10	介词
筋	10	名词
宽泛	10	形容词
中位数	10	名词
悲观者	10	名词
绩效考核	10	名词
无止境	10	习用语
红烧肉	10	名词
卖不出去	10	成语
所致	10	连词
眼高手低	10	名词
原作	10	名词
必经之路	10	习用语
变得复杂	10	成语
生来	10	动词
危机感	10	名词
离家	10	名词
表白	10	动词
技法	10	名词
光速	10	名词
乖	10	形容词
纷繁复杂	10	成语
这太难	10	代词
这太难	10	副词
这太难	10	形容词
不敢相信	10	成语
不改	10	副词
不改	10	动词
货币政策	10	名词
市场需求	10	名词
奇异	10	形容词
亡	10	动词
嘴上	10	名词
嘴上	10	方位词
日落	10	名词
学长	10	名词
自拍	10	介词
自拍	10	动词
不复存在	10	习用语
赚回	10	动词
摊薄	10	名词
摊薄	10	形容词
心跳	10	动词
三张	10	数词
年终总结	10	名词
股东权益	10	名词
多米诺骨牌	10	名词
埋藏	10	动词
网址	10	名词
公路	10	名词
阿姆斯特丹	10	名词
原地打转	10	习用语
餐饮业	10	名词
遛狗	10	动词
小人物	10	名词
汪国玉	10	名词
淘	10	动词
戴上	10	动词
戴上	10	方位词
人以	10	名词
人以	10	介词
嘈杂	10	形容词
那块	10	代词
那块	10	状态词
李希贵	10	名词
高空	10	名词
八角	10	数词
携隐	10	动词
提意见	10	动词
天线	10	名词
留心	10	动词
心来	10	动词
笼统	10	名词
进到	10	动词
自定义	10	习用语
亲属	10	名词
苏格拉底	10	名词
猥琐	10	形容词
星际	10	名词
爱能	10	名词
奥地利	10	名词
山坡	10	名词
上山	10	名词
常理	10	名词
领悟到	10	名词
鲁宾	10	名词
低水平	10	名词
决定论	10	名词
瞎折腾	10	动词
热爱生活	10	习用语
站队	10	名词
内测	10	动词
闯入	10	动词
乌	10	名词
跻身	10	动词
诚	10	形容词
重申	10	动词
七八年	10	数词
七天	10	时间词
脑后	10	名词
脑后	10	方位词
烟头	10	名词
霍金斯	10	名词
甘愿	10	名词
性生活	10	名词
万买	10	数词
万买	10	动词
定价权	10	名词
盎司	10	量词
交税	10	名词
通用汽车	10	名词
黑人	10	名词
一如既往	10	成语
多种多样	10	数词
物化	10	名词
着实	10	副词
优缺点	10	名词
爆棚	10	名词
不惜一切	10	成语
恒大	10	名词
竭尽全力	10	成语
江西	10	名词
努力提高	10	名词
路线图	10	名词
开价	10	动词
绑匪	10	名词
炸掉	10	动词
再过	10	副词
再过	10	助词
博格	10	名词
针	10	介词
拳击	10	动词
出示	10	动词
艺术作品	10	名词
沙漏	10	名词
回信	10	动词
下水	10	动词
兽医	10	名词
始终认为	10	成语
人均收入	10	名词
两端	10	数词
逻辑推理	10	名词
唐注	10	名词
小而	10	形容词
小而	10	连词
海滩	10	名词
用品	10	名词
度假	10	动词
致意	10	动词
茶叶	10	名词
事业单位	10	名词
陕西	10	名词
我怕	10	代词
我怕	10	动词
二者之间	10	习用语
任教	10	名词
再次出现	10	动词
豁达	10	形容词
盘中	10	处所词
振奋	10	动词
非常重视	10	习用语
梦境	10	名词
樊路	10	名词
张口	10	名词
免去	10	动词
工会	10	名词
计数器	10	名词
全押	10	动词
信息论	10	名词
摞	10	动词
一角	10	数词
想出	10	动词
专属	10	名词
张表	10	名词
团员	10	名词
村口	10	名词
久违	10	动词
窍门	10	名词
短线	10	区别词
偏股	10	形容词
偏股	10	量词
光纤	10	名词
光有	10	名词
光有	10	动词
动脑子	10	名词
瑕疵	10	名词
客观条件	10	名词
师长	10	名词
上楼	10	名词
极有	10	副词
极有	10	动词
峰顶	10	名词
天上掉	10	成语
极化	10	名词
遗传基因	10	名词
钉子	10	名词
标准差	10	名词
扰乱	10	动词
揪	10	动词
留言板	10	名词
文学性	10	名词
编织	10	名词
文体	10	名词
颠倒	10	动词
说得好	10	习用语
火车站	10	名词
超脱	10	动词
海域	10	名词
译法	10	名词
赚来	10	动词
委员	10	名词
长河	10	名词
无以	10	连词
无懈可击	10	成语
福耀	10	名词
存档	10	动词
泼	10	动词
鞭子	10	名词
骑车	10	名词
律所	10	名词
律所	10	助词
高难度	10	习用语
毛线	10	名词
青花瓷	10	名词
正德	10	时间词
凸	10	动词
凸度	10	名词
往复	10	副词
惨痛	10	形容词
宗族	10	名词
李嘉图	10	名词
远非	10	名词
殿堂	10	名词
佛家	10	名词
滑落	10	动词
网状	10	名词
习俗	10	名词
山下	10	处所词
发生冲突	10	名词
逻辑学	10	名词
小节	10	名词
安然	10	名词
非人	10	区别词
扰动	10	动词
语言学	10	名词
可变	10	动词
小作坊	10	名词
挡住	10	动词
犹	10	副词
一臂	10	数词
一臂	10	名词
小河	10	名词
常备	10	名词
长安	10	名词
足足	10	动词
足下	10	动词
李密	10	名词
父子	10	名词
张三	10	名词
背负着	10	习用语
辨认	10	动词
入境	10	名词
松鼠	10	名词
肥尾	10	名词
戒酒	10	名词
黎明	10	名词
疲惫不堪	10	习用语
钱袋	10	名词
只在乎	10	成语
贝尔	10	名词
六十	10	数词
半月	10	时间词
昆阳	10	名词
鲍叔牙	10	名词
股票交易	10	名词
池子	10	名词
单机游戏	10	名词
宫殿	10	名词
改编	10	动词
社畜	10	名词
管教	10	名词
共读	10	动词
曼谷	10	名词
求婚	10	动词
王静	10	名词
小鹤	10	名词
毛估估	10	名词
一马	10	数词
一马	10	名词
面料	10	名词
工商	10	名词
模具	10	名词
▋	10	字符串
病痛	10	名词
预处理	10	动词
注意安全	10	名词
记号	10	名词
主考官	10	名词
临信	10	动词
满身	10	动词
平视	10	名词
喜茶	10	动词
禅师	10	名词
月食	10	名词
教学楼	10	名词
开课	10	动词
自驾游	10	成语
现代性	10	名词
那首	10	代词
那首	10	数词
杨志	10	名词
做播客	10	动词
做播客	10	名词
侦查	10	动词
内源性	10	名词
蓑	10	状态词
烟雨任	10	名词
也无晴	10	习用语
贬谪	10	动词
猎狗	10	名词
飞书	10	名词
长官	10	名词
核心区	10	名词
中心区	10	名词
标好	10	名词
李玄旭	10	名词
郑先生	10	名词
周喆	10	名词
周喆	10	状态词
白描	10	名词
鱿鱼	10	名词
余秋雨	10	名词
沈括	10	名词
♞	10	字符串
男单	10	名词
赢球	10	名词
中国乒乓球队	10	名词
秦志戬	10	名词
张继科	10	名词
之势	10	助词
之势	10	名词
自动挡	10	成语
up主	10	字符串
贝聿铭	10	名词
另辟蹊径	10	习用语
欠然	10	动词
欠然	10	连词
安克	10	名词
旧脑	10	名词
简里	10	名词
助浴	10	动词
阿香	10	名词
陶彩英	10	名词
韧带	10	名词
新冠后	10	名词
新冠后	10	方位词
电影学院	10	名词
何叔衡	10	名词
男伴	10	名词
孙弹匠	10	名词
绿帽子	10	名词
业果	10	名词
财新	9	名词
做好事	9	名词
可比性	9	习用语
哪件	9	数量词
帅	9	名词
斗士	9	名词
某某某	9	代词
陛下	9	名词
必然性	9	习用语
离经叛道	9	成语
推上	9	动词
多线程	9	区别词
四月	9	数词
熬过	9	动词
复发	9	动词
减重	9	动词
完一	9	动词
完一	9	数词
无耻	9	形容词
税务	9	名词
舒	9	状态词
谜	9	名词
杀掉	9	动词
内含	9	动词
非上市	9	名词
吃喝玩乐	9	成语
妙手	9	名词
二流	9	区别词
另一回事	9	成语
非常规	9	区别词
工整	9	动词
音箱	9	名词
空着	9	形容词
空着	9	助词
装在	9	动词
装在	9	介词
大字	9	名词
被誉为	9	名词
共计	9	动词
当地人	9	名词
俯瞰	9	动词
春	9	时间词
牛仔裤	9	名词
钢印	9	名词
章法	9	名词
此起彼伏	9	成语
丰富多彩	9	成语
过节	9	时间词
一听	9	数词
一听	9	动词
调性	9	名词
香蕉	9	名词
落脚	9	动词
坐火车	9	名词
津津乐道	9	名词
厂牌	9	名词
货车	9	名词
有大	9	形容词
深究	9	动词
跪	9	动词
个个	9	代词
交通规则	9	名词
身影	9	名词
五分	9	数词
第一版	9	名词
成因	9	名词
徐	9	名词
日出	9	动词
人生价值	9	习用语
良师益友	9	名词
长大成人	9	名词
翻来覆去	9	成语
龙场	9	名词
念念不忘	9	成语
缘	9	名词
清风	9	名词
生根	9	名词
一扇门	9	成语
文盲	9	名词
广为人知	9	习用语
尽量减少	9	成语
驯化	9	动词
幻象	9	名词
广而告之	9	习用语
抠门	9	形容词
经有	9	动词
别用	9	副词
别用	9	介词
常见问题	9	习用语
些许	9	副词
一家独大	9	成语
圈有	9	动词
兜售	9	动词
胜者	9	名词
断掉	9	动词
后半段	9	时间词
缩	9	动词
危机四伏	9	成语
打倒	9	动词
西西	9	方位词
公司员工	9	名词
细菌	9	名词
中高层	9	区别词
钱穆	9	名词
历来	9	动词
撞击	9	动词
两支	9	数词
轻率	9	名词
朝上	9	介词
朝上	9	方位词
互为	9	副词
加速器	9	名词
五星级	9	区别词
宽恕	9	动词
魔术师	9	名词
稍加	9	副词
咔	9	状态词
处世	9	动词
行动者	9	名词
思考者	9	名词
霸道	9	名词
女方	9	名词
寂静	9	形容词
已久	9	副词
已久	9	形容词
虚空	9	名词
减分	9	动词
观摩	9	动词
患得患失	9	成语
余下	9	数词
价差	9	名词
留有	9	动词
总计	9	名词
角落里	9	名词
元月	9	时间词
邮局	9	名词
自选	9	动词
活跃度	9	习用语
更名	9	动词
中国电信	9	名词
导流	9	名词
淋漓尽致	9	成语
专用	9	名词
播种	9	动词
耕耘	9	动词
断定	9	动词
帝	9	名词
疑似	9	动词
勒	9	动词
维尔	9	名词
昨日	9	时间词
老爸	9	名词
皮格	9	名词
马利翁	9	名词
孩童	9	名词
见得	9	动词
小幅	9	名词
无异于	9	习用语
次之	9	时间词
那股	9	代词
那股	9	量词
冒风险	9	名词
抛掉	9	动词
地要	9	助词
地要	9	动词
偏低	9	动词
三万	9	数词
荣幸	9	名词
收于	9	动词
浓厚	9	形容词
置身于	9	习用语
袒露	9	动词
耍流氓	9	习用语
祖国	9	名词
遵守规则	9	习用语
活人	9	名词
玻璃心	9	名词
翻书	9	动词
先决条件	9	名词
这层	9	代词
这层	9	量词
搬走	9	动词
用户群	9	名词
先到	9	副词
先到	9	动词
所在地	9	名词
模版	9	动词
关键字	9	名词
批量	9	名词
罗素	9	名词
大衣	9	名词
眉头	9	名词
世故	9	名词
上扬	9	动词
同胞	9	名词
二鸟	9	数词
二鸟	9	名词
聪明才智	9	成语
打成	9	动词
祝贺	9	名词
节流	9	名词
值不值	9	习用语
例行	9	动词
视之为	9	动词
英雄主义	9	名词
保持警惕	9	名词
情结	9	名词
临时工	9	名词
哈哈哈哈	9	拟声词
两千	9	数词
奥迪	9	名词
尊	9	量词
不成比例	9	成语
共生	9	名词
拍板	9	名词
第十	9	数词
指数化	9	名词
普林斯顿	9	名词
二十个	9	数词
质朴	9	名词
教育部	9	名词
生个	9	动词
生个	9	量词
勾	9	动词
坨	9	动词
吓坏	9	动词
小强	9	名词
米哈	9	名词
人发	9	名词
人发	9	动词
骑士	9	名词
深沉	9	形容词
李诞	9	名词
李诞	9	动词
虚无主义	9	名词
责编	9	名词
看美剧	9	动词
看美剧	9	名词
走开	9	动词
无一	9	动词
无一	9	数词
表露	9	动词
坐班	9	动词
分组	9	动词
一带	9	名词
柔和	9	形容词
实话实说	9	习用语
祸	9	名词
下篇	9	区别词
短裤	9	名词
撤资	9	动词
一二	9	数词
不言自明	9	成语
入行	9	动词
入行	9	状态词
极快	9	副词
熟练掌握	9	成语
一刀切	9	成语
零花钱	9	名词
用兵	9	名词
交战	9	动词
巴菲	9	名词
学子	9	名词
多用	9	区别词
他学	9	代词
他学	9	名词
弗格森	9	名词
用语	9	名词
境内	9	处所词
计算结果	9	名词
大起大落	9	习用语
比较复杂	9	习用语
只会用	9	副词
只会用	9	动词
只会用	9	介词
成倍	9	数词
时薪	9	名词
一再强调	9	习用语
贼	9	名词
智能化	9	名词
市区	9	名词
车道	9	名词
渺茫	9	形容词
不过如此	9	连词
伯乐	9	名词
两款	9	数词
所属	9	区别词
充满活力	9	习用语
表单	9	名词
精良	9	形容词
高效能	9	名词
诱惑力	9	名词
第二章	9	数词
持平	9	名词
二把手	9	数词
掌管	9	动词
问心无愧	9	成语
醉	9	动词
李叫	9	名词
淡淡的	9	状态词
作风	9	名词
代理商	9	名词
皇冠	9	名词
固守	9	形容词
开机	9	名词
主打	9	名词
背锅	9	名词
往里面	9	名词
技术水平	9	名词
波谷	9	名词
看能	9	动词
一盘棋	9	名词
迄今	9	副词
开业	9	名词
旗帜	9	名词
惯用	9	名词
阵地	9	名词
劣质	9	名词
忠诚度	9	成语
内生	9	名词
黑马	9	名词
上万	9	数词
三角	9	数词
上百	9	简称略语
举出	9	动词
我试	9	代词
我试	9	动词
想见	9	动词
原则上	9	副词
鸡毛	9	名词
稀有	9	动词
分不清楚	9	习用语
盲	9	名词
速度慢	9	名词
人生目标	9	名词
职业倦怠	9	名词
直截了当	9	成语
车间	9	名词
两条线	9	名词
平缓	9	形容词
喜不喜欢	9	成语
比较慢	9	习用语
产房	9	名词
迈入	9	动词
万亿美元	9	数词
无人机	9	习用语
老祖宗	9	名词
往返	9	动词
两地	9	名词
没什	9	习用语
脱节	9	动词
中后期	9	方位词
异曲同工	9	名词
眷顾	9	动词
中文名	9	名词
兆	9	数词
工时	9	名词
做手术	9	名词
统计局	9	名词
房产税	9	简称略语
避险	9	动词
外汇	9	名词
诶	9	叹词
示意	9	动词
不休	9	动词
最低价	9	名词
利空	9	名词
跌至	9	动词
跌至	9	介词
换入	9	动词
我出	9	代词
我出	9	动词
米饭	9	名词
昨天晚上	9	时间词
游戏机	9	名词
计费	9	名词
要少	9	动词
要少	9	形容词
翻翻	9	动词
尼	9	名词
离家近	9	动词
一堵	9	数词
人太多	9	名词
人太多	9	副词
人太多	9	数词
铁匠	9	名词
侵入	9	动词
凝结	9	动词
抢先	9	动词
总以为	9	习用语
机灵	9	名词
文风	9	名词
立足点	9	名词
能耗	9	名词
紧盯	9	状态词
绞尽脑汁	9	成语
编造	9	动词
万册	9	数词
匠	9	名词
罗兰	9	名词
系统地	9	名词
勤勉	9	形容词
另有	9	代词
另有	9	动词
兹	9	代词
西蒙	9	名词
世界大战	9	名词
国旗	9	名词
马丁	9	名词
巨匠	9	名词
铁	9	名词
主讲人	9	名词
各有不同	9	习用语
爆发式	9	名词
弹幕	9	名词
比心	9	介词
比心	9	处所词
入局	9	名词
四线	9	数词
微商	9	名词
第一桶金	9	名词
蜂拥而至	9	成语
刘作	9	名词
预料到	9	习用语
打入	9	动词
不多见	9	习用语
蔓延到	9	习用语
这栋	9	代词
第三季度	9	数量词
信文	9	名词
招商银行	9	名词
湖畔	9	名词
反对者	9	名词
算了算	9	习用语
汹涌	9	动词
埋头苦干	9	成语
皮囊	9	名词
菜鸟	9	名词
敏捷	9	形容词
并行	9	动词
中场	9	名词
稳重	9	形容词
家用	9	名词
裂痕	9	名词
浮出	9	动词
潜入	9	动词
鲸鱼	9	名词
望远镜	9	名词
销售量	9	名词
石家庄	9	名词
扔给	9	动词
大大减少	9	成语
怀才不遇	9	成语
量身	9	名词
过问	9	动词
以我为主	9	成语
买股	9	动词
买股	9	量词
音调	9	名词
夜深人静	9	成语
忧愁	9	形容词
毒性	9	名词
剂量	9	名词
杀伤力	9	名词
无异	9	形容词
高材生	9	名词
保送	9	动词
毒药	9	名词
视网膜	9	名词
只差	9	副词
只差	9	形容词
汽油	9	名词
恼	9	状态词
卸下	9	动词
幸运者	9	名词
斐然	9	状态词
决定权	9	名词
电报	9	名词
右脚	9	名词
翻滚	9	动词
敏锐地	9	名词
轰动	9	动词
自暴自弃	9	成语
村长	9	名词
归于	9	动词
正义感	9	名词
人事	9	名词
压迫者	9	名词
神迹	9	名词
恩	9	名词
再造	9	动词
王石	9	名词
放权	9	动词
言下之意	9	成语
堕落	9	动词
闪光	9	名词
恳求	9	动词
光看	9	名词
光看	9	动词
血管	9	名词
市政	9	名词
卖完	9	动词
见闻	9	名词
本想	9	代词
本想	9	动词
仓储	9	简称略语
加盟	9	名词
巨无霸	9	名词
世道	9	名词
先发	9	副词
先发	9	动词
水管	9	名词
上交	9	动词
浙江省	9	名词
灏	9	语素
更坏	9	副词
更坏	9	形容词
落寞	9	形容词
尝到	9	动词
蘑菇	9	名词
大部	9	名词
值得反思	9	习用语
盒马	9	名词
瞩目	9	动词
多亿	9	数词
巨亏	9	形容词
巨亏	9	动词
老将	9	名词
旗号	9	名词
泥泞	9	名词
血泪	9	名词
文集	9	名词
讯息	9	名词
花开	9	动词
杰作	9	名词
宋朝	9	时间词
所想	9	连词
所想	9	动词
遗	9	名词
花瓣	9	名词
泪水	9	名词
宽阔	9	形容词
文件夹	9	名词
看涨	9	动词
沃顿	9	名词
中央政府	9	名词
非营利	9	名词
专业化	9	名词
参看	9	动词
科斯	9	名词
流通股	9	名词
盈余	9	名词
夺走	9	动词
叠	9	动词
次日	9	时间词
发扬光大	9	成语
劳累	9	动词
少之又少	9	习用语
长时	9	形容词
长时	9	名词
分野	9	名词
冲破	9	动词
四字	9	数词
四字	9	名词
四分	9	数词
洗脸	9	动词
四岁	9	数词
u	9	字符串
韩路	9	名词
两代	9	数词
想不通	9	习用语
要价	9	名词
苟且	9	名词
每条	9	代词
每条	9	量词
关键因素	9	名词
售后	9	名词
出资人	9	名词
折射	9	动词
第三篇	9	数词
对劲	9	形容词
轻轻松松	9	状态词
曹操	9	名词
送上	9	动词
送上	9	方位词
溜	9	动词
事无巨细	9	成语
机密	9	名词
丈母娘	9	名词
水涨船高	9	成语
数据结构	9	名词
过来人	9	名词
强烈建议	9	习用语
复刻	9	形容词
